City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,San Quintin,MX,80.74,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
280,Kenora,CA,76.17,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
283,Hamilton,US,79.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
286,Ponta Delgada,PT,79.5,shower rain,37.7333,-25.6667,Vila Nova Hotel
287,Tarragona,ES,78.31,clear sky,41.129,1.249,Hotel SB Ciutat de Tarragona
293,Luganville,VU,83.17,clear sky,-15.5333,167.1667,The Espiritu Hotel
294,Bonthe,SL,76.55,light rain,7.5264,-12.505,Bonthe Holiday Village
306,Griffith,US,80.53,clear sky,41.5284,-87.4237,Apartment above Depot Bar
307,Namatanai,PG,84.13,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
309,Abonnema,NG,75.49,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
313,Surt,LY,79.45,clear sky,31.2089,16.5887,فندق المدينة
314,Pochutla,MX,83.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
315,Eureka,US,80.37,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
317,Kirakira,SB,82.2,overcast clouds,-10.4544,161.9205,SanBiz Lodge
319,Lalmohan,BD,82.06,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
322,Grenville,GD,80.65,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
331,Chabahar,IR,78.62,few clouds,25.2919,60.643,هتل گدروشیا
337,Sola,VU,81.18,scattered clouds,-13.8833,167.55,Leumerus Bungalows
338,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
339,Nuevitas,CU,82.02,clear sky,21.5453,-77.2644,Hotel Caonaba
340,Marang,MY,75.11,overcast clouds,5.2056,103.2059,DBarakah Homestay
345,Cumpas,MX,82.09,overcast clouds,29.9833,-109.7833,Hotel La Palma
350,Kaliganj,BD,80.85,overcast clouds,23.4095,89.1402,অয়ন বিশ্বাস হাউজ
351,Sao Joao Do Piaui,BR,78.58,scattered clouds,-8.3581,-42.2467,Nayra Palace Hotel
360,Qui Nhon,VN,76.39,overcast clouds,13.7667,109.2333,Seagull Hotel
