City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Port Blair,IN,11.6667,92.75,75.24,94,100,1.14,drizzle
183,Bafoulabe,ML,13.8065,-10.8321,73.51,86,95,3.47,light rain
184,Filingue,NE,14.3521,3.3168,80.91,63,94,8.95,overcast clouds
185,Klaksvik,FO,62.2266,-6.589,58.12,97,65,17.67,light rain
186,Severo-Kurilsk,RU,50.6789,156.125,56.5,93,100,16.96,light rain
187,Erzin,TR,36.9559,36.2,72.54,69,0,2.04,clear sky
188,Pocoes,BR,-14.5297,-40.3653,59.7,97,100,3.96,overcast clouds
189,Carutapera,BR,-1.195,-46.02,77.07,86,100,6.73,overcast clouds
190,Darhan,MN,49.4867,105.9228,59.34,62,42,4.9,scattered clouds
191,Coquimbo,CL,-29.9533,-71.3436,53.33,76,75,8.05,broken clouds
192,Ponta Do Sol,PT,32.6667,-17.1,74.03,79,6,2.86,clear sky
193,Kaitangata,NZ,-46.2817,169.8464,48.18,62,96,0.74,overcast clouds
194,Jalu,LY,29.0331,21.5482,75.99,45,1,12.3,clear sky
195,Rosarito,MX,32.3333,-117.0333,98.64,62,8,7.09,clear sky
196,Peniche,PT,39.3558,-9.3811,69.57,88,89,7.31,overcast clouds
197,Vilyuysk,RU,63.7553,121.6247,42.76,87,97,7.76,overcast clouds
198,Rjukan,NO,59.8789,8.5941,52.05,77,69,2.89,broken clouds
199,Sitka,US,57.0531,-135.33,62.49,63,75,10.36,broken clouds
200,Walvis Bay,NA,-22.9575,14.5053,56.08,94,0,3.44,clear sky
201,Havre,FR,49.5833,0.3333,62.37,88,75,12.66,broken clouds
202,Narasannapeta,IN,18.4167,84.05,79.29,84,99,5.7,overcast clouds
203,Morrope,PE,-6.5417,-80.0111,66.31,75,47,16.33,scattered clouds
204,Hofn,IS,64.2539,-15.2082,52.65,89,100,3.62,overcast clouds
205,Ust-Maya,RU,60.4167,134.5333,41.7,96,100,13.78,light rain
206,Harlingen,US,26.1906,-97.6961,89.69,75,0,11.5,clear sky
207,Novki,RU,56.3608,41.0775,44.26,96,100,4.52,overcast clouds
208,Zapolyarnyy,RU,69.4154,30.8136,42.08,77,100,6.98,overcast clouds
209,Natal,BR,-5.795,-35.2094,77.22,73,20,12.66,few clouds
210,Boyolangu,ID,-8.1181,111.8935,74.37,94,77,1.72,broken clouds
211,Miyako,JP,39.6367,141.9525,71.15,78,97,7.92,overcast clouds
212,Miles City,US,46.4083,-105.8406,101.37,15,0,6.91,clear sky
213,Batemans Bay,AU,-35.7167,150.1833,58.1,92,100,4.99,light rain
214,Deputatskiy,RU,69.3,139.9,38.19,92,100,7.18,light rain
215,Puksoozero,RU,62.5903,40.6066,34.75,98,80,5.48,broken clouds
216,Tessalit,ML,20.1986,1.0114,94.15,13,4,8.93,clear sky
217,Scarborough,GB,54.2797,-0.4044,58.33,90,90,1.01,overcast clouds
218,Ambilobe,MG,-13.2,49.05,63.86,79,11,4.27,few clouds
219,Lafia,NG,8.4833,8.5167,73.09,95,99,3.0,light rain
220,Plainview,US,40.7765,-73.4673,72.88,76,100,8.05,overcast clouds
221,Port Said,EG,31.2565,32.2841,80.24,76,1,7.83,clear sky
222,Kikuyu,KE,-1.2458,36.6633,55.83,81,99,3.04,overcast clouds
223,Ventspils,LV,57.3894,21.5606,40.93,100,0,1.14,clear sky
224,Tiarei,PF,-17.5333,-149.3333,82.42,77,9,22.86,light rain
225,Grindavik,IS,63.8424,-22.4338,52.27,93,75,2.3,broken clouds
226,Takikawa,JP,43.5528,141.9064,64.62,63,0,4.36,clear sky
227,Carbonia,IT,39.1672,8.5222,79.45,89,36,2.91,scattered clouds
228,Murgab,TM,37.4966,61.9714,71.47,43,0,4.61,clear sky
229,Yerbogachen,RU,61.2767,108.0108,37.74,91,86,5.26,overcast clouds
230,Beringovskiy,RU,63.05,179.3167,45.39,63,5,7.0,clear sky
231,Tacuarembo,UY,-31.7333,-55.9833,59.65,87,1,5.73,clear sky
232,Te Anau,NZ,-45.4167,167.7167,39.34,91,87,1.14,overcast clouds
233,Sal Rei,CV,16.1833,-22.9167,79.0,81,25,16.04,scattered clouds
234,Camargo,MX,27.6667,-105.1667,84.16,31,97,10.18,overcast clouds
235,Phalombe,MW,-15.8064,35.6507,60.87,73,33,3.31,scattered clouds
236,Zorritos,PE,-3.6805,-80.6782,75.49,75,45,12.19,scattered clouds
237,Manyana,BW,-23.4,21.7167,64.58,43,0,16.73,clear sky
238,Pangai,TO,-19.8,-174.35,80.71,69,40,11.5,scattered clouds
239,Ilulissat,GL,69.2167,-51.1,39.22,87,75,4.61,broken clouds
240,Sangar,RU,63.9242,127.4739,44.15,80,100,15.59,overcast clouds
241,Khani,GE,41.9563,42.9566,47.77,79,6,5.28,clear sky
242,Port Alfred,ZA,-33.5906,26.891,60.76,89,2,9.44,clear sky
243,Fengcheng,CN,40.4536,124.0717,63.03,88,0,2.28,clear sky
244,Saint-Pierre,RE,-21.3393,55.4781,69.91,64,100,8.05,overcast clouds
245,Ancud,CL,-41.8697,-73.8203,43.23,86,98,8.43,overcast clouds
246,Keti Bandar,PK,24.1447,67.4497,79.81,78,0,14.03,clear sky
247,Bodden Town,KY,19.2833,-81.25,86.0,75,40,0.0,scattered clouds
248,Greeley,US,40.4233,-104.7091,101.07,16,0,5.75,clear sky
249,Kieta,PG,-6.2167,155.6333,83.64,72,40,5.39,light rain
250,Axim,GH,4.8699,-2.2405,74.17,93,3,6.98,clear sky
251,Vila Velha,BR,-20.3297,-40.2925,71.55,72,75,6.91,broken clouds
252,Ranong,TH,9.9658,98.6348,78.17,86,100,15.43,overcast clouds
253,Uitenhage,ZA,-33.7576,25.3971,55.63,83,0,3.49,clear sky
254,Lorengau,PG,-2.0226,147.2712,83.73,70,56,4.18,broken clouds
255,Ahipara,NZ,-35.1667,173.1667,56.3,63,99,2.62,overcast clouds
256,Georgiyevka,KZ,43.0369,74.7114,60.84,77,0,6.71,clear sky
257,Saldanha,ZA,-33.0117,17.9442,51.85,90,0,16.28,clear sky
258,Iracoubo,GF,5.4802,-53.2011,79.45,83,61,10.6,broken clouds
259,Arlit,NE,18.7369,7.3853,96.15,16,63,8.79,broken clouds
260,Lima,PE,-12.0432,-77.0282,63.9,78,100,11.5,overcast clouds
261,Ostrovnoy,RU,68.0531,39.5131,42.6,84,100,16.87,light rain
262,Korla,CN,41.7597,86.1469,76.06,20,0,5.28,clear sky
263,Yeniseysk,RU,58.4497,92.1703,54.72,85,87,12.39,overcast clouds
264,Zheleznodorozhnyy,RU,55.7503,38.0042,46.81,92,100,7.49,overcast clouds
265,Edd,ER,13.9297,41.6925,90.79,60,54,9.46,broken clouds
266,Benxi,CN,41.2886,123.765,59.32,73,0,4.65,clear sky
267,Mtwara,TZ,-10.2667,40.1833,67.98,90,1,8.37,clear sky
268,Kloulklubed,PW,7.0419,134.2556,75.7,74,99,4.9,light rain
269,Sangmelima,CM,2.9333,11.9833,68.32,97,90,4.14,overcast clouds
270,Isangel,VU,-19.55,169.2667,82.51,78,40,4.61,scattered clouds
271,Quatre Cocos,MU,-20.2078,57.7625,69.91,69,80,8.63,broken clouds
272,Faanui,PF,-16.4833,-151.75,78.73,72,9,20.45,clear sky
273,Simao,CN,22.7886,100.9748,62.35,80,76,2.73,broken clouds
274,Alekseyevsk,RU,57.8406,108.3492,42.8,86,91,3.6,overcast clouds
275,Noumea,NC,-22.2763,166.4572,75.18,99,5,10.54,clear sky
276,Brigantine,US,39.4101,-74.3646,72.05,86,100,12.66,overcast clouds
277,Marsaxlokk,MT,35.8419,14.5431,81.09,83,20,3.44,few clouds
278,Mumford,GH,5.2618,-0.759,74.91,91,5,10.98,clear sky
279,San Quintin,MX,30.4833,-115.95,80.74,67,15,9.78,few clouds
280,Kenora,CA,49.8167,-94.4337,76.17,33,40,10.36,scattered clouds
281,Myitkyina,MM,25.3833,97.4,72.93,95,100,2.24,overcast clouds
282,Kruisfontein,ZA,-34.0033,24.7314,54.3,80,0,5.26,clear sky
283,Hamilton,US,39.1834,-84.5333,79.65,56,20,11.5,few clouds
284,Wairoa,NZ,-39.0333,177.3667,55.54,75,96,2.75,overcast clouds
285,Lompoc,US,34.6391,-120.4579,98.74,53,0,16.11,clear sky
286,Ponta Delgada,PT,37.7333,-25.6667,79.5,94,40,14.97,shower rain
287,Tarragona,ES,41.129,1.249,78.31,88,0,0.0,clear sky
288,Ronne,DK,55.1009,14.7066,60.71,67,75,13.8,broken clouds
289,Taicheng,CN,38.731,113.228,58.15,55,56,3.27,broken clouds
290,Okha,RU,53.5739,142.9478,54.41,70,100,28.59,overcast clouds
